Output.Type,Output,Status,Answer.Type,Choices,Correct.Answer,Hint,Figure,Figure.Type,Video,Tag,Notes,,,,,
text,"In this lesson, we will discuss type I and type II errors as well as the closely related concepts of power and sample size calculation.",,,,,,,,,,,,,,,
text,"A type I error, also known as a false positive, is the probability of rejecting the null hypothesis when the null hypothesis is true. When performing a statistical test, the type I error rate is typically predetermined by the statistician performing the test and is equivalent to the significance level of the test. Type I error is generally represented by the Greek letter 'alpha'.",,,,,,,,,,,,,,,
text,"On the other hand, a type II error, also known as a false negative, is the probability of failing to reject the null hypothesis when the null hypothesis is false. Notice that we intentionally avoid saying that one 'accepts the null hypothesis' in favor of saying that one 'fails to reject the null hypothesis'. This is comparable to the way in which a court of law avoids declaring someone to be innocent in favor of declaring someone to be not guilty. Type II error is generally represented by the Greek letter 'beta'.",,,,,,,,,,,,,,,
text,"The concept of power is closely related to that of a type II error. Power is the probability of correctly rejecting the null hypothesis when the null hypothesis is false. Since the type II error rate is the probability of INCORRECTLY rejecting the null hypothesis and power is the probability of CORRECTLY rejecting the null hypothesis, power is therefore equal to one minus the type II error rate (or in mathematical terms, power = 1 - beta). ",,,,,,,,,,,,,,,
text,"You are part of a research team conducting an experiment on the effectiveness of a new test that is designed to detect the presence of a deadly disease. Existing methods of detecting this disease are extremely reliable, but also very expensive. The appeal of this new test is that it is significantly cheaper than the existing method, although it may not be quite as reliable.",,,,,,,,,,,,,,,
text,"To estabilish the validity of your new test, your team performs both the new test and the existing test on a large group of consenting individuals. It is assumed that the diagnosis given by the existing test is the true diagnosis. The new test performs as follows: Among people who actually have the disease (as diagnosed by the existing test) the new test correctly diagnoses 80% as having the disease and fails to correctly diagnose the remaining 20%. Among people who do not have the disease, the new test incorrectly diagnoses 4% as having the disease and correctly diagnoses the remaining 96% as not having the disease. Keep in mind that when performing a diagnostic test, the null hypothesis is always that the patient does not have the disease of interest.",,,,,,,,,,,,,,,
question,What is the type I error of this test?,,multiple,80%; 20%; 4%; 96%,4%,Type I error is the probability of incorrectly diagnosing someone as having the disease when she is in fact healthy.,,,,,,,,,,
question,What is the type II error of this test?,,multiple,80%; 20%; 4%; 96%,20%,Type II error is the probability of incorrectly diagnosing someone as healthy when he does in fact have the disease.,,,,,,,,,,
question,What is the power of this test?,,multiple,80%; 20%; 4%; 96%,80%,Power is the probability of correctly diagnosing someone as having the disease when she does in fact have the disease.,,,,,,,,,,
text,"For the remainder of the module, we will shift our focus to power and its important role in sample size calculations for experiments.",,,,,,,,,,,,,,,
